#time,accel_x,accel_y,accel_z
2177.019362,19837.519246,-16876.695478,-85802.695776
2177.021922,-24722.878463,15248.242405,-69408.252119
2177.024481,32569.061448,-22058.137072,-85496.257577
2177.027041,-4441.235652,-1184.329507,-81972.218286
2177.029601,10807.006753,6957.935855,-73238.729609
2177.032161,-11547.212695,-3404.947333,-80899.684589
2177.034720,3256.906145,148.041188,-73238.729609
2177.037280,-2960.823768,-4145.153275,-81972.218286
2177.039840,2220.617826,7254.018232,-72932.291410
2177.042400,3997.112087,-3997.112087,-79367.493593
2177.044960,5033.400406,8142.265362,-75077.358804
2177.047519,-7698.141797,-2960.823768,-83351.190182
2177.050079,-14656.077652,1776.494261,-76149.892501
2177.052639,26055.249158,-23390.507767,-82738.313784
2177.055199,-15396.283594,14211.954086,-71093.662214
2177.057759,25315.043216,-9918.759623,-87334.886772
2177.060318,5181.441594,12731.542202,-70021.128517
2177.062878,28423.908173,-888.247130,-83197.971083
2177.065438,-22798.343014,13471.748144,-72166.195912
2177.067998,22798.343014,-10362.883188,-75996.673402
2177.070558,-26943.496289,-2220.617826,-70634.004916
2177.073117,22798.343014,-6809.894666,-73851.606007
2177.075677,-888.247130,-1036.288319,-77069.207099
2177.078237,5625.565159,-5921.647536,-75537.016103
2177.080797,-12731.542202,-9326.594869,-78907.836294
2177.083357,-11103.089130,6513.812290,-76149.892501
2177.085916,-1628.453072,-17468.860231,-83044.751983
2177.088476,-14804.118840,1480.411884,-71859.757712
2177.091036,17616.901420,-13027.624579,-85343.038477
2177.093596,-17764.942608,9178.553681,-75996.673402
2177.096156,12287.418637,-19985.560434,-84117.285680
2177.098715,-25759.166782,4441.235652,-72166.195912
2177.101275,8882.471304,-11991.336260,-79520.712692
2177.103835,-9030.512492,-888.247130,-71706.538613
2177.106395,17024.736666,-1776.494261,-71400.100414
2177.108955,-2960.823768,-4589.276840,-82431.875585
2177.111514,9770.718434,5477.523971,-71246.881314
2177.114074,-8290.306550,-6365.771101,-79827.150892
2177.116634,3108.864956,4441.235652,-65271.336430
2177.119194,-14656.077652,-3997.112087,-79367.493593
2177.121754,10955.047942,148.041188,-70634.004916
2177.124315,6365.771101,-6809.894666,-79061.055394
2177.126875,-17320.819043,8290.306550,-75690.235202
2177.129436,7698.141797,-17468.860231,-82738.313784
2177.131997,-27683.702231,8290.306550,-74464.482406
2177.134557,2812.782580,-20725.766376,-87028.448573
2177.137118,-14508.036463,-1036.288319,-67569.622924
2177.139678,15840.407159,-27091.537477,-86109.133975
2177.142239,-9178.553681,10066.800811,-69408.252119
2177.144799,21614.013506,-13619.789333,-81665.780087
2177.147360,-13619.789333,3701.029710,-73085.510509
2177.149920,-1776.494261,-12139.377449,-80593.246390
2177.152481,0.000000,17468.860231,-78294.959896
