#time,accel_x,accel_y,accel_z
2047.844289,-17172.777854,11251.130318,-77222.426198
2047.846762,7105.977043,15840.407159,-71859.757712
2047.849234,-6069.688724,3256.906145,-80440.027290
2047.851707,-17320.819043,1480.411884,-70940.443115
2047.854179,-4293.194464,-21317.931130,-88560.639569
2047.856652,-7105.977043,5625.565159,-71706.538613
2047.859124,10807.006753,-17172.777854,-89786.392366
2047.861597,-22206.178260,8438.347739,-73391.948708
2047.864070,31088.649564,-14063.912898,-83351.190182
2047.866542,-32272.979071,13175.665768,-65884.212828
2047.869015,22798.343014,-13915.871710,-83044.751983
2047.871487,-19097.313304,13175.665768,-67876.061123
2047.873960,23686.590144,-10807.006753,-83351.190182
2047.876432,-7698.141797,7105.977043,-82585.094684
2047.878905,14804.118840,10658.965565,-66956.746525
2047.881377,-15988.448347,-11251.130318,-85036.600278
2047.883850,-3108.864956,6809.894666,-73545.167808
2047.886323,-6957.935855,-13175.665768,-87181.667672
2047.888795,-6513.812290,2960.823768,-77528.864398
2047.891268,-5329.482782,-3108.864956,-78754.617194
2047.893740,-5773.606348,2812.782580,-81972.218286
2047.896213,-3997.112087,-7550.100608,-80440.027290
2047.898685,-11547.212695,444.123565,-77835.302597
2047.901158,296.082377,-12731.542202,-83351.190182
2047.903630,-15692.365970,8882.471304,-71246.881314
2047.906103,28423.908173,-12435.459826,-79367.493593
2047.908576,-24722.878463,9474.636058,-71859.757712
2047.911048,41155.450375,-13175.665768,-82891.532884
2047.913521,-35529.885216,14656.077652,-72779.072310
2047.915993,35677.926404,-7105.977043,-76303.111601
2047.918466,-23834.631332,7402.059420,-77069.207099
2047.920938,40415.244433,4885.359217,-70787.224015
2047.923505,-34789.679274,-1480.411884,-80746.465489
2047.926072,-59512.557737,-13027.624579,-76456.330700
2047.928639,99483.678605,-12139.377449,-66803.527426
2047.931206,-119765.321416,25907.207970,-52094.493864
2047.933773,83199.147881,-40563.285622,-96987.690047
2047.936339,-39526.997303,39378.956114,-87334.886772
2047.938906,-52554.621882,-4737.318029,-103422.892230
2047.941473,88380.589475,-19541.436869,-64811.679131
2047.944040,-10807.006753,-3404.947333,-60674.763442
2047.946607,-54035.033766,13619.789333,-62973.049936
2047.949174,64842.040519,-46336.891969,-81972.218286
2047.951741,20133.601622,-13175.665768,-78907.836294
2047.954307,-740.205942,-1332.370696,-71246.881314
2047.956874,9474.636058,-15692.365970,-87794.544071
2047.959441,26055.249158,7254.018232,-71553.319513
2047.962008,-36270.091158,4885.359217,-78141.740796
2047.964575,28127.825796,-444.123565,-75537.016103
2047.967142,-16728.654289,3552.988522,-73085.510509
2047.969708,13323.706956,-11399.171507,-77835.302597
2047.972275,9030.512492,-7698.141797,-81206.122788
2047.974842,4145.153275,-5033.400406,-76915.987999
2047.977409,-296.082377,-23834.631332,-85496.257577
2047.979976,-14804.118840,11103.089130,-72012.976812
2047.982543,15544.324782,-23538.548956,-84423.723880
2047.985110,-22650.301825,10214.842000,-71553.319513
2047.987676,36862.255912,-17468.860231,-83964.066581
2047.990243,-7105.977043,6217.729913,-72166.195912
2047.992810,30496.484810,-26055.249158,-85343.038477
2047.995377,-18209.066173,4885.359217,-69101.813920
2047.997944,14656.077652,-9326.594869,-81972.218286
2048.000511,-12139.377449,10066.800811,-72166.195912
2048.003077,14063.912898,-4293.194464,-76149.892501
2048.005644,-740.205942,-1924.535449,-80286.808190
2048.008211,16728.654289,-4293.194464,-74617.701505
2048.010778,-26499.372724,-10955.047942,-78601.398095
2048.013345,12879.583391,-19393.395680,-83964.066581
2048.015912,-19245.354492,-2516.700203,-77528.864398
2048.018479,10955.047942,-18653.189738,-73545.167808
2048.021045,-4737.318029,-3108.864956,-79061.055394
2048.023612,296.082377,4737.318029,-67722.842023
2048.026109,109106.355851,-11103.089130,-89173.515967
2048.028605,-104813.161387,31532.773129,-56537.847752
2048.031102,87492.342344,-53442.869012,-97600.566445
2048.033598,-31384.731941,23834.631332,-76609.549800
2048.036095,-80978.530055,-22650.301825,-92850.774358
2048.038591,110882.850112,-40267.203245,-81512.560987
2048.041088,-34197.514520,14063.912898,-56078.190454
2048.043584,13027.624579,10955.047942,-88713.858668
2048.046081,29756.278868,10955.047942,-74311.263306
2048.048577,-45596.686027,16728.654289,-68795.375720
2048.051074,-45004.521274,6217.729913,-71553.319513
2048.053570,52998.745447,-32865.143825,-85802.695776
2048.056067,-35381.844028,17024.736666,-73851.606007
2048.058563,-17764.942608,-21169.889941,-89020.296868
2048.061060,14804.118840,1184.329507,-69867.909418
2048.063556,-14804.118840,-11103.089130,-81359.341888
2048.066053,-26647.413912,14063.912898,-73085.510509
2048.068549,40267.203245,-11399.171507,-86568.791274
2048.071046,-41303.491564,21169.889941,-67722.842023
2048.073542,31236.690752,-23242.466579,-92237.897959
2048.076039,2368.659014,-1480.411884,-76149.892501
2048.078535,8882.471304,10510.924376,-65730.993728
2048.081032,-23686.590144,-4441.235652,-87181.667672
2048.083528,16432.571912,7698.141797,-74004.825107
2048.086025,-7550.100608,-296.082377,-83657.628382
2048.088521,12139.377449,-148.041188,-72012.976812
2048.091018,-15100.201217,4885.359217,-81052.903688
2048.093514,-10658.965565,5181.441594,-75230.577904
2048.096011,444.123565,-3552.988522,-78907.836294
2048.098507,-15248.242405,-740.205942,-73391.948708
2048.101004,10066.800811,-11251.130318,-86568.791274
2048.103500,-2664.741391,5329.482782,-69714.690318
2048.105997,11399.171507,-8142.265362,-85189.819378
2048.108493,-23242.466579,14508.036463,-68795.375720
2048.110990,18949.272115,-4441.235652,-81359.341888
2048.113486,-8290.306550,15544.324782,-67109.965625
2048.115983,-5773.606348,888.247130,-74311.263306
2048.118479,17172.777854,-33013.185013,-86568.791274
2048.120976,40859.367998,11991.336260,-74924.139704
2048.123472,-100223.884547,7846.182985,-84730.162079
2048.126044,67950.905476,-26351.331535,-98366.661943
2048.128615,-26055.249158,35677.926404,-107253.369720
2048.131186,-107922.026344,-740.205942,-102350.358533
2048.133757,139602.840661,-33161.226202,-67876.061123
2048.136328,-43079.985824,24278.754898,-33401.763713
2048.138899,-6069.688724,-21169.889941,-71246.881314
2048.141470,14656.077652,-24278.754898,-78601.398095
2048.144042,-14804.118840,-9178.553681,-76915.987999
2048.146613,-13767.830521,-2072.576638,-69255.033019
2048.149184,62769.463882,-26499.372724,-88867.077768
2048.151755,-7254.018232,16136.489536,-68488.937521
2048.154326,10066.800811,-1184.329507,-77682.083497
2048.156897,6365.771101,3997.112087,-72472.634111
2048.159468,10362.883188,-148.041188,-73545.167808
2048.162040,-19541.436869,-13323.706956,-85189.819378
2048.164611,46632.974346,-4441.235652,-72166.195912
2048.167182,-11991.336260,-1628.453072,-77988.521696
2048.169753,13027.624579,1628.453072,-76456.330700
2048.172324,-1628.453072,-3849.070898,-77988.521696
2048.174895,-13915.871710,7698.141797,-69101.813920
2048.177467,296.082377,-20281.642811,-85496.257577
2048.180038,-4145.153275,5329.482782,-66803.527426
2048.182609,18505.148550,-20429.683999,-83504.409282
2048.185180,-22354.219448,15840.407159,-71093.662214
2048.187751,33309.267390,-18357.107362,-84883.381178
2048.190322,-28868.031738,12287.418637,-66343.870127
2048.192893,14508.036463,-13915.871710,-84270.504780
2048.195465,-7846.182985,6513.812290,-69408.252119
2048.198036,38046.585419,-23834.631332,-82125.437386
2048.200607,-4293.194464,5921.647536,-77682.083497
2048.203178,2072.576638,-7105.977043,-72472.634111
2048.205749,17320.819043,-3849.070898,-78907.836294
2048.208320,-29460.196492,-20577.725188,-80440.027290
2048.210891,40119.162056,3552.988522,-71553.319513
2048.213463,-67654.823099,22354.219448,-68029.280222
2048.216034,75501.006084,-4441.235652,-86262.353075
2048.218605,-61881.216751,38934.832549,-57303.943250
2048.221176,50037.921679,-51666.374752,-76915.987999
2048.223747,9770.718434,-15100.201217,-88407.420469
2048.226318,-30052.361245,-17172.777854,-69561.471218
2048.228919,9622.677246,5477.523971,-76149.892501
2048.231535,38342.667796,-1332.370696,-87488.105872
2048.234151,-53442.869012,30200.402434,-66803.527426
2048.236768,42191.738694,-15248.242405,-80440.027290
2048.239384,14804.118840,14211.954086,-73238.729609
2048.242000,-52554.621882,26499.372724,-68029.280222
2048.244616,33901.432144,-11251.130318,-83351.190182
2048.247232,18653.189738,10510.924376,-69408.252119
2048.249849,-30644.525999,8586.388927,-68029.280222
2048.252465,-888.247130,-8586.388927,-83197.971083
2048.255081,9326.594869,-10510.924376,-87181.667672
2048.257697,-38934.832549,9178.553681,-74617.701505
2048.260313,14952.160028,-24130.713709,-87028.448573
2048.262930,-26943.496289,15544.324782,-72779.072310
2048.265546,11991.336260,-24574.837274,-85036.600278
2048.268162,-11399.171507,17616.901420,-72779.072310
2048.270778,16432.571912,-11547.212695,-86109.133975
2048.273394,-25315.043216,19393.395680,-66497.089226
2048.276011,19689.478057,3552.988522,-70174.347617
2048.278627,-16876.695478,1480.411884,-80286.808190
2048.281243,10362.883188,3997.112087,-71859.757712
2048.283859,5181.441594,296.082377,-82125.437386
2048.286476,7550.100608,1480.411884,-73238.729609
2048.289092,-15544.324782,0.000000,-81206.122788
2048.291708,20873.807564,9918.759623,-70021.128517
2048.294324,-37158.338288,3404.947333,-77375.645298
2048.296940,17764.942608,-1924.535449,-77988.521696
2048.299557,-15692.365970,-1332.370696,-77835.302597
2048.302173,-14508.036463,30792.567187,-65577.774629
2048.304789,-7846.182985,-12583.501014,-85802.695776
2048.307405,14211.954086,-11251.130318,-67569.622924
2048.310021,-30940.608376,1924.535449,-81512.560987
2048.312638,-6217.729913,-31532.773129,-75230.577904
2048.315254,113547.591503,-18505.148550,-79061.055394
2048.317870,-110438.726546,40563.285622,-49030.111872
2048.320486,109994.602981,-16284.530724,-94689.403553
2048.323102,-66026.370026,51222.251186,-94076.527154
2048.325719,-15544.324782,-17172.777854,-100664.948437
2048.328335,50482.045244,-14211.954086,-80440.027290
2048.330951,9918.759623,-5477.523971,-74770.920605
2048.333596,-40563.285622,-740.205942,-73085.510509
2048.336241,35381.844028,-26351.331535,-83810.847481
2048.338885,21762.054695,-5329.482782,-78294.959896
2048.341530,-53590.910201,10066.800811,-71400.100414
2048.344175,27831.743419,-27239.578666,-91012.145162
2048.346820,-32272.979071,18061.024985,-69561.471218
2048.349464,1776.494261,-23686.590144,-89633.173266
2048.352109,5625.565159,-2220.617826,-75996.673402
2048.354754,43968.232955,-11251.130318,-79673.931792
2048.357399,-25611.125593,3849.070898,-70940.443115
2048.360043,31384.731941,-5773.606348,-79980.369991
2048.362688,-19541.436869,-11103.089130,-81206.122788
2048.365333,-8142.265362,-3997.112087,-72932.291410
2048.367978,8586.388927,-9030.512492,-73698.386908
2048.370622,-592.164754,-592.164754,-78907.836294
2048.373267,-4737.318029,-11399.171507,-80899.684589
2048.375912,-13619.789333,3256.906145,-74617.701505
2048.378557,8142.265362,-23390.507767,-85955.914876
2048.381201,-23834.631332,11695.253884,-66650.308326
2048.383846,21021.848753,-20429.683999,-83964.066581
2048.386491,-6661.853478,148.041188,-73545.167808
2048.389136,28571.949361,-10066.800811,-78907.836294
